央视频道,#genre#
CCTV-1,http://171.116.151.33:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.26.60.4:8000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://221.205.201.216:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://118.183.212.29:6868/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://60.26.2.242:7000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://123.113.182.168:9000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://27.11.48.167:8001/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://60.220.167.223:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://114.228.152.8:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://27.10.76.212:8007/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://114.221.238.215:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://120.41.67.212:8888/rtp/239.61.3.61:9884$1920x1080
CCTV-1,http://122.191.206.188:888/rtp/228.0.0.1:6108$1920x1080
CCTV-1,http://36.47.82.53:8010/rtp/239.112.205.59:5140$1920x1080
CCTV-2,http://113.90.245.17:4000/rtp/239.253.43.17:5146$1920x1080
CCTV-2,http://115.236.230.60:8888/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://60.26.2.242:7000/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://118.183.212.29:6868/rtp/239.255.30.179:8231$1920x1080
CCTV-2,http://36.47.82.53:8010/rtp/239.112.205.78:5140$1920x1080
CCTV-2,http://221.205.201.216:8085/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$1920x1080
CCTV-2,http://123.113.182.168:9000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://27.10.76.212:8007/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://121.226.15.243:8888/rtp/239.49.8.130:6000$1920x1080
CCTV-2,http://171.213.198.225:4000/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://27.223.234.28:7777/rtp/239.253.254.232:8000$1920x1080
CCTV-2,http://60.220.167.223:8085/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://120.41.67.212:8888/rtp/239.61.2.174:9032$1920x1080
CCTV-2,http://223.11.153.2:7777/rtp/239.1.1.8:8008$1920x1080
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://118.183.212.29:6868/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://59.38.63.30:2052/rtp/239.77.0.169:5146$1920x1080
CCTV-3,http://27.223.234.28:7777/rtp/239.253.254.191:8000$1920x1080
CCTV-3,http://123.113.182.168:9000/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://27.10.76.212:8007/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://114.246.181.137:8888/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://1.70.35.224:8083/rtp/239.1.1.9:8009$1920x1080
CCTV-3,http://171.116.226.246:8082/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://61.55.46.35:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://42.92.117.243:8888/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://120.41.67.212:8888/rtp/239.61.3.34:9722$1920x1080
CCTV-3,http://221.205.201.216:8085/rtp/226.0.2.208:9576$1920x1080
